NATIONAL UNIVERSITY OF ENGINEERING
FACULTY OF CIVIL ENGINEERING
JAPAN-PERU CENTER FOR EARTHQUAKE ENGINEERING RESEARCH AND DISASTER MITIGATION (CISMID)
TUPAC AMARU AVENUE 1150 - LIMA 25 - PERU Postal Code 31-250 Lima 31
Telephone Numbers (51-1) 482-0777, 482-0790 FAX 481-0170
e-mail: f_lazares@uni.edu.pe	http://www.cismid-uni.org

1. INFORMATION ABOUT THE SEISMIC STATION
STATION NAME               :  Parque de la Reserva                                                                                
STATION CODE               :  PRQ       
STATION LOCATION           :  Parque de la Reserva, Cercado de Lima, Lima                                                         
LATITUDE                   :  -12.07 
LONGITUDE                  :  -77.04 
ALTITUDE (m)               :  130                 
ACCELEROMETER MODEL        :  Acelerógrafo Analógico                                                                              
SAMPLING FREQUENCY (Hz)    :   50

2. INFORMATION ABOUT THE EARTHQUAKE
DATE                       :  October 17, 1966                                                                                    
ORIGIN TIME (Local)        :  16:41:00                                                                                            
LATITUDE                   :  -10.70                                                                                              
LONGITUDE                  :  -78.70                                                                                              
DEPTH (km)                 :  24.00                                                                                               
MAGNITUDE                  :  8.1 Mw                                                                                              
INFORMATION SOURCE         :  IGP                                                                                                 

3. INFORMATION ABOUT THE RECORD
RECORD TIME (Local)        :  16:41:00
NUMBER OF SAMPLES          :      3283
MAXIMUM ACCELERATION       :   -180.56   -268.24     94.29
DATA UNITS                 :  cm/s2   

4. COMMENTS
BASELINE CORRECTED

5. ACCELERATION DATA
T	EW	NS	UD
0.00	-11.3771	-13.1543	4.1991
0.02	-2.6551	-6.6753	-4.9569
0.04	-3.0481	-5.1973	-4.5209
0.06	-4.9621	2.5887	0.9491
0.08	0.2979	4.0947	9.0771
0.10	3.6239	-0.6473	6.9631
0.12	-10.0711	2.8327	-3.0019
0.14	-18.2221	6.1607	-9.2369
0.16	0.3719	1.2377	-10.0449
0.18	8.5069	-3.4773	-0.9529
0.20	-2.2541	1.3667	5.9311
0.22	-0.7521	7.4387	2.8821
0.24	4.3129	4.5367	-2.9659
0.26	-0.8331	2.8127	-8.7999
0.28	-1.6581	-1.2503	-9.3879
0.30	8.1169	-3.0623	-0.0839
0.32	11.2519	0.9987	6.8011
0.34	3.2079	-3.2563	4.6901
0.36	-1.4361	-2.6703	6.3781
0.38	0.2559	4.2197	7.2261
0.40	3.2759	1.4577	3.9761
0.42	5.6979	3.9937	2.2471
0.44	3.5819	9.4037	0.1731
0.46	0.6449	0.2677	-4.5819
0.48	2.1589	-4.9873	-7.4039
0.50	1.5529	-1.0903	-6.1619
0.52	-4.9821	-2.4093	-5.3489
0.54	-1.3781	-5.1703	-6.0059
0.56	0.8129	-1.8873	0.8561
0.58	-5.2291	3.5177	3.3081
0.60	-3.9711	2.6657	-3.7809
0.62	0.5579	1.8907	-8.6129
0.64	4.8379	8.6657	-5.2679
0.66	5.8359	7.0367	1.7511
0.68	0.7159	-0.6703	10.0261
0.70	-7.6411	-1.0653	16.7311
0.72	-6.4271	2.1367	11.6911
0.74	3.0609	7.4937	5.6761
0.76	1.5019	11.1987	4.6351
0.78	-3.6401	1.2557	-3.2679
0.80	-3.0841	-8.9823	-6.7309
0.82	-2.7701	-7.1103	-4.0209
0.84	-4.1301	-4.5383	-5.5249
0.86	1.0759	-6.9323	-7.3949
0.88	1.8739	-6.7083	-8.3479
0.90	-5.1471	-1.1993	-10.3599
0.92	-2.3431	-2.4213	-4.8319
0.94	-1.4801	-1.0293	8.3721
0.96	-5.2841	-1.7373	10.9731
0.98	-0.1131	-7.3593	3.8461
1.00	6.9399	0.2307	-0.3379
1.02	6.0049	6.8057	1.7011
1.04	1.4709	0.1167	4.0151
1.06	-2.0871	-3.3743	3.3221
1.08	-4.6201	-0.8213	3.3411
1.10	-2.0631	2.8587	-1.5149
1.12	4.0319	7.1947	-0.7349
1.14	3.6149	9.8667	5.3361
1.16	-3.0561	8.0567	9.6411
1.18	-6.7571	3.1077	6.4531
1.20	-7.5991	2.0197	-0.1599
1.22	-6.2611	-1.2363	2.4891
1.24	1.3189	-8.2713	1.5971
1.26	6.2799	-6.9223	-6.0089
1.28	3.0139	3.4827	-9.5859
1.30	-4.0311	4.9287	-7.4849
1.32	-3.4031	0.9917	-2.7269
1.34	1.4459	0.1407	-1.3909
1.36	-0.1191	-3.0633	-3.7549
1.38	1.3359	-4.5513	-2.4999
1.40	4.2929	-2.8363	-4.5139
1.42	1.2979	-3.4953	-9.1999
1.44	-3.2871	-5.2553	-3.3749
1.46	-1.8131	-4.0673	6.2801
1.48	3.0349	-2.2073	4.0321
1.50	0.2429	-1.3153	0.5051
1.52	-8.2261	-0.6853	4.0081
1.54	-11.9141	-0.1953	7.0791
1.56	-2.9521	2.3037	3.6521
1.58	4.6609	4.3547	-0.6989
1.60	2.9849	0.6057	-2.4149
1.62	7.2529	-4.8093	-6.1239
1.64	16.5139	-6.2843	-6.5989
1.66	11.5639	-4.5963	-0.5769
1.68	-0.3671	-0.8523	-0.8249
1.70	2.1899	3.1547	-5.5859
1.72	8.7179	3.6247	-8.0979
1.74	7.1579	1.8617	-3.1629
1.76	2.7319	-3.1243	-3.9959
1.78	0.0439	-7.3393	-4.4169
1.80	0.5379	-3.5343	2.2621
1.82	2.1379	0.4287	-2.8079
1.84	0.3069	-2.2463	-7.5049
1.86	-4.7451	2.3647	1.5981
1.88	-6.2141	3.8367	10.2301
1.90	-3.1681	-0.8053	14.0531
1.92	-2.5811	2.0957	21.3411
1.94	-4.7021	8.6667	27.7831
1.96	-3.7751	13.1467	20.5611
1.98	0.0699	6.0177	1.8981
2.00	-1.6411	-3.1253	-11.4509
2.02	-4.9371	-6.3503	-14.5429
2.04	-0.5561	-8.6803	-9.0429
2.06	0.4319	-8.4233	0.4221
2.08	-5.3761	-3.7803	0.9751
2.10	-9.6931	-0.4153	-7.2719
2.12	-12.0481	1.8957	-11.6089
2.14	-4.9551	8.9047	-12.5729
2.16	5.6799	6.4217	-11.0839
2.18	3.4269	-6.7773	-6.7659
2.20	0.1059	-9.8163	-4.5329
2.22	9.0249	-5.7693	-6.3389
2.24	17.0829	-5.7743	-4.2889
2.26	11.0889	-3.1053	0.9531
2.28	3.7909	1.7007	1.2371
2.30	2.7249	2.4387	-1.1609
2.32	-0.0751	1.5157	1.1591
2.34	-6.4131	0.5037	-0.2509
2.36	-7.3981	-0.9363	-9.0249
2.38	-1.6781	-3.3733	-10.9879
2.40	5.0219	-6.2073	-0.9989
2.42	10.8679	-6.5103	0.4371
2.44	5.4899	-2.3933	-3.9149
2.46	-1.4361	-1.8693	-0.7559
2.48	2.5649	-5.1213	6.6741
2.50	12.4339	-0.2093	7.8161
2.52	13.9739	8.3957	1.7851
2.54	3.1729	3.8777	2.5141
2.56	-0.6951	-2.0193	10.8991
2.58	6.1509	2.6467	12.9081
2.60	0.6659	6.2047	8.4871
2.62	-13.0091	7.2507	5.8171
2.64	-13.9671	10.3807	4.5791
2.66	-7.6401	14.3287	3.8231
2.68	-3.0521	11.2187	-3.8909
2.70	-5.4471	4.4027	-7.9289
2.72	-8.6901	1.1647	-2.1599
2.74	-7.0011	-1.5993	-1.6369
2.76	-3.4461	-2.0083	-4.1119
2.78	-4.7261	-0.1713	-0.4979
2.80	-5.1451	-4.7003	1.1611
2.82	2.5469	-8.6063	-8.9569
2.84	11.0729	-4.9423	-10.6439
2.86	11.0989	-1.4773	0.1971
2.88	3.8509	-0.3233	5.7151
2.90	-1.3081	0.2727	7.7721
2.92	-1.6981	-2.8873	15.0751
2.94	-0.0591	-3.9643	16.6911
2.96	1.4689	3.7097	7.1161
2.98	8.6579	9.1427	-2.6289
3.00	7.1579	5.8707	-3.6089
3.02	-6.1621	-0.0623	0.7721
3.04	-4.0701	-0.9723	2.3461
3.06	1.1559	5.0357	3.9701
3.08	-9.3251	0.4237	1.0031
3.10	-13.9721	-3.0713	-15.0629
3.12	-7.8681	-3.8923	-19.8149
3.14	1.4849	-12.7333	-12.6399
3.16	7.2719	-11.5293	-9.3319
3.18	2.7999	-6.7723	1.7581
3.20	11.2159	-5.6403	8.0861
3.22	14.1769	-0.4603	4.3521
3.24	3.4859	2.5747	1.6031
3.26	1.1579	6.6607	-0.4169
3.28	2.0809	11.1997	-1.4269
3.30	1.6389	3.5997	-0.9279
3.32	-2.2771	-2.8813	-2.6039
3.34	-7.7171	3.2697	-5.8029
3.36	-8.4891	5.2067	-7.4849
3.38	-3.2401	-0.1103	-8.9449
3.40	1.5799	-0.1383	-3.0749
3.42	4.5999	-0.4793	0.6281
3.44	7.5959	-5.6403	-6.8319
3.46	9.5379	-8.9643	-6.0229
3.48	8.4559	-5.4163	-2.5259
3.50	5.4349	1.6317	-0.3659
3.52	2.6999	1.6287	5.9901
3.54	-0.3781	-2.1233	6.4981
3.56	-1.6501	0.6437	-3.2019
3.58	1.9669	2.0037	-4.3519
3.60	6.2059	-0.9433	3.6021
3.62	-1.0441	5.0817	8.9111
3.64	-8.5921	11.9427	7.0711
3.66	-4.4381	6.7437	-2.3619
3.68	-0.6981	4.5577	-4.6849
3.70	-3.2051	-0.9913	1.7821
3.72	-4.2001	-7.1323	1.4131
3.74	-1.9341	2.3347	-3.3559
3.76	-1.2391	3.9067	-4.8719
3.78	-2.0491	-2.0373	0.6911
3.80	-1.6621	4.1397	-0.8019
3.82	1.1329	7.7957	-8.6569
3.84	4.3049	-3.2933	-5.2769
3.86	5.0819	-3.5763	-0.2199
3.88	3.4069	1.3817	0.9371
3.90	5.2679	1.5877	0.8451
3.92	3.3909	1.0107	-0.1019
3.94	-3.1111	-9.8763	-4.5129
3.96	-0.1471	-4.4413	-11.8409
3.98	6.2149	7.7937	-9.5399
4.00	6.4499	3.1067	-7.1089
4.02	4.6139	5.5667	-0.5189
4.04	2.8259	9.5777	13.4911
4.06	0.5909	7.4347	16.9901
4.08	-6.7911	9.3167	18.8511
4.10	-6.2391	5.6257	11.2781
4.12	0.9419	-2.8953	-1.4959
4.14	-5.3791	0.5017	-1.4879
4.16	2.0179	7.5577	-0.9469
4.18	6.4359	0.2497	0.9401
4.20	-10.1061	-11.4483	-2.7319
4.22	-11.7421	-6.1543	-5.2009
4.24	-1.4011	0.8217	2.6261
4.26	-3.5991	-10.4953	-1.5439
4.28	-8.9581	-10.5113	-4.6449
4.30	-1.2831	3.9587	4.2911
4.32	2.9159	1.7777	-6.6029
4.34	-3.9401	-5.1093	-17.2029
4.36	-0.8891	1.0817	-10.1369
4.38	7.9549	9.9697	-11.9009
4.40	1.5879	8.1987	-17.9549
4.42	-0.5381	1.8847	-10.0409
4.44	7.2969	2.7237	-0.8289
4.46	5.0529	8.3847	-5.1769
4.48	1.9179	0.2237	4.4151
4.50	8.4059	2.0517	20.7631
4.52	14.6339	14.2817	15.3961
4.54	9.0699	7.1937	2.5551
4.56	4.9199	1.3657	6.9751
4.58	2.4439	0.3817	12.2041
4.60	-2.1221	-5.5483	2.9321
4.62	0.7899	-10.8283	-9.2389
4.64	-5.2671	-5.7723	-5.3909
4.66	-17.9731	2.7387	11.1751
4.68	-10.6951	-0.5983	17.3871
4.70	1.5419	-3.8983	20.6011
4.72	-1.8411	3.7417	10.0901
4.74	-2.8901	2.3057	-5.9359
4.76	7.9839	-8.6363	-10.9959
4.78	8.1299	-2.0393	-15.8159
4.80	-6.9221	1.3277	-17.5109
4.82	-6.2101	-0.6653	-13.8019
4.84	1.4969	10.1217	-7.4199
4.86	-5.5731	13.0397	-0.3089
4.88	-8.2461	1.9767	6.8561
4.90	2.4079	-0.9813	3.0471
4.92	5.1649	9.6637	-10.2369
4.94	-0.9071	4.7757	-8.7619
4.96	-3.5851	-6.9223	-4.1809
4.98	-5.0311	-4.0023	-7.7019
5.00	-1.6951	-5.7963	-12.3839
5.02	7.6959	-5.5163	-15.1559
5.04	1.8669	5.1517	-10.5219
5.06	0.2239	3.3567	1.1221
5.08	13.0539	-7.3163	17.6391
5.10	11.3449	-4.7543	22.6211
5.12	-1.7621	8.2487	13.5191
5.14	-0.7161	10.4907	7.1631
5.16	8.6169	3.1687	3.7431
5.18	3.3549	-0.7793	-14.7379
5.20	-7.3371	-2.7273	-22.9999
5.22	-2.2911	-2.6943	-7.7969
5.24	-0.7181	3.6167	-3.9649
5.26	-13.0321	4.1997	5.3661
5.28	-10.4831	5.2057	19.2991
5.30	-2.6041	12.0617	12.1071
5.32	-5.4141	0.6927	1.7071
5.34	2.6519	-12.8783	-5.9419
5.36	0.6919	-10.9943	-12.6759
5.38	-10.1611	-8.7723	-9.5679
5.40	-1.5311	-2.8733	-1.6759
5.42	1.6579	7.4247	-5.6549
5.44	2.7659	5.3117	-13.8549
5.46	9.5699	-2.9993	-5.3989
5.48	7.2829	3.6127	10.4761
5.50	-0.0361	2.9197	8.6941
5.52	2.2899	-8.1553	-3.5539
5.54	10.0809	-0.1223	-9.5319
5.56	12.4579	3.6097	-11.8729
5.58	15.8989	-5.1103	-7.3619
5.60	12.7239	1.3007	3.1931
5.62	-6.2851	0.1427	6.7511
5.64	-11.7691	-4.6323	1.8551
5.66	2.5619	7.6897	-3.8469
5.68	5.0359	10.6267	-8.3309
5.70	-3.4041	8.5347	-4.5319
5.72	-6.9011	7.4297	11.0721
5.74	-7.0341	7.6167	31.0311
5.76	-11.1921	9.4717	30.7471
5.78	-9.8661	5.5777	9.8641
5.80	-2.6771	0.7997	-0.9259
5.82	-8.2601	1.6547	3.7951
5.84	-12.4911	8.2747	12.6321
5.86	-0.0611	0.7367	22.7641
5.88	-12.3691	-6.3543	19.3561
5.90	-19.0201	-5.7553	10.5581
5.92	4.7289	-0.4643	4.7261
5.94	-4.0201	4.7237	0.7051
5.96	-5.6551	0.0567	-1.7959
5.98	8.8519	1.7247	-9.5819
6.00	-9.0281	3.9657	-12.2769
6.02	-6.1951	-6.7573	-16.4459
6.04	17.3129	0.0997	-15.9439
6.06	11.9149	5.7257	5.4131
6.08	-2.4331	-4.7183	6.5801
6.10	-12.7481	-8.9663	-6.8289
6.12	-6.6011	-11.9713	-8.6899
6.14	-0.3211	-0.5163	-13.4869
6.16	-1.4751	6.0187	-17.7429
6.18	13.3439	-2.2723	-14.4619
6.20	7.6749	-5.7243	-6.9889
6.22	-3.6101	-0.6303	7.9031
6.24	15.7759	11.2727	22.0081
6.26	12.2199	19.1467	20.3721
